1,水利工程概论,8,1,4
2,河流动力学,8,9,4
3,水文预报,8,1,4
4,matlab工程应用,6,1,2
5,大学生职业规划与就业指导,8,4,3
6,水文水利计算,10,2,4
7,水环境化学,10,1,4
8,地下水水文学,10,1,4
